stock_symbol,date,close_price,daily_return,annualized_return,annualized_volatility,sharpe_ratio,investment_status
AAPL,2020-01-29,78.61,,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-01-30,78.5,-0.139931,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-01-31,75.02,-4.43312,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-03,74.81,-0.279925,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-04,77.28,3.3017,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-05,77.91,0.815217,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-06,78.82,1.16801,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-07,77.75,-1.35752,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-10,78.12,0.475884,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-11,77.65,-0.601639,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-12,79.49,2.36961,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-13,78.93,-0.704491,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-14,78.95,0.025339,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-18,77.5,-1.8366,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-19,78.62,1.44516,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-20,77.82,-1.01755,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-21,76.05,-2.27448,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-24,72.44,-4.74688,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-25,69.99,-3.38211,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-26,71.1,1.58594,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-27,66.45,-6.54008,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-02-28,66.41,-0.060196,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-02,72.59,9.30583,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-03,70.29,-3.16848,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-04,73.55,4.63793,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-05,71.16,-3.24949,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-06,70.22,-1.32097,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-09,64.66,-7.91797,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-10,69.32,7.20693,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-11,66.91,-3.47663,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-12,60.31,-9.864,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-13,67.53,11.9715,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-16,58.84,-12.8684,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-17,61.43,4.40177,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-18,59.93,-2.4418,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-19,59.47,-0.767562,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-20,55.69,-6.35615,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-23,54.51,-2.11887,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-24,59.98,10.0349,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-25,59.65,-0.550183,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-26,62.79,5.26404,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-27,60.19,-4.14079,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-30,61.91,2.85762,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-03-31,61.78,-0.209982,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-01,58.53,-5.2606,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-02,59.5,1.65727,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-03,58.65,-1.42857,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-06,63.77,8.72975,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-07,63.03,-1.16042,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-08,64.64,2.55434,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-09,65.11,0.727104,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-13,66.38,1.95054,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-14,69.74,5.06177,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-15,69.1,-0.917694,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-16,69.65,0.795948,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-17,68.71,-1.3496,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-20,67.28,-2.08121,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-21,65.2,-3.09156,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-22,67.08,2.88344,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-23,66.82,-0.387597,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-24,68.75,2.88836,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-27,68.79,0.058182,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-28,67.68,-1.61361,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-29,69.9,3.28014,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-04-30,71.38,2.11731,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-01,70.23,-1.6111,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-04,71.22,1.40965,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-05,72.29,1.50239,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-06,73.04,1.03749,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-07,73.79,1.02683,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-08,75.55,2.38515,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-11,76.74,1.57512,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-12,75.86,-1.14673,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-13,74.94,-1.21276,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-14,75.41,0.627168,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-15,74.96,-0.596738,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-18,76.73,2.36126,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-19,76.28,-0.586472,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-20,77.77,1.95333,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-21,77.19,-0.745789,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-22,77.68,0.634797,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-26,77.16,-0.669413,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-27,77.49,0.427683,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-28,77.53,0.05162,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-05-29,77.45,-0.103186,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-01,78.4,1.2266,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-02,78.77,0.471939,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-03,79.2,0.545893,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-04,78.52,-0.858586,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-05,80.75,2.84004,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-08,81.23,0.594427,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-09,83.8,3.16386,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-10,85.95,2.56563,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-11,81.83,-4.79349,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-12,82.53,0.855432,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-15,83.55,1.23591,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-16,85.77,2.65709,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-17,85.65,-0.139909,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-18,85.68,0.035026,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-19,85.19,-0.571895,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-22,87.42,2.61768,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-23,89.29,2.1391,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-24,87.71,-1.76952,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-25,88.88,1.33394,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-26,86.15,-3.07156,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-29,88.13,2.29832,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-06-30,88.87,0.839669,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-07-01,88.7,-0.191291,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-07-02,88.7,0.0,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-07-06,91.07,2.67193,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-07-07,90.79,-0.307456,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-07-08,92.9,2.32404,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-07-09,93.3,0.430571,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-07-10,93.47,0.182208,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-07-13,93.03,-0.470739,0.2726,0.317838,0.756989,Moderate Risk
AAPL,2020-07-14,94.57,1.65538,0.2726,0.317838,0.756989,Moderate Risk
